Source,Target,Weight
sustain,fashion,7
sustain,brand,1
sustain,wardrob,1
sustain,reflect,1
sustain,make,1
fashion,transcend,1
fashion,planet,1
fashion,seek,1
fashion,concept,1
fashion,",",1
fashion,model,1
fashion,extend,1
fashion,repres,1
fashion,indic,1
fashion,industri,1
transcend,nich,1
nich,statu,1
statu,becom,1
statu,quo,1
becom,signific,1
signific,movement,1
movement,within,1
within,industri,1
industri,",",2
industri,healthier,1
",",reshap,1
",",sustain,4
",",hemp,1
",",recycl,1
",",well,1
",",provid,1
",",product,1
",",environment,1
",",encourag,1
",",higher-qu,1
",",cloth,1
",",lead,1
",",individu,1
",",footwear,1
",",even,1
",",consum,1
",",challeng,1
",",grow,1
",",contribut,1
reshap,way,1
way,think,1
way,ethic,1
think,style,1
style,cloth,1
cloth,product,1
cloth,produc,1
cloth,encompass,1
product,.,2
product,process,1
product,method,1
product,align,1
.,'s,1
.,evolut,1
.,involv,1
.,furthermor,1
.,contrast,1
.,invest,1
.,vegan,1
.,shift,1
.,still,1
.,support,1
's,mere,1
mere,pass,1
pass,trend,1
trend,fundament,1
trend,season,1
fundament,shift,1
shift,toward,3
shift,industri,1
toward,ethic,1
toward,sustain,1
toward,mind,1
ethic,environment,2
ethic,manufactur,1
environment,friendli,2
environment,harm,1
environment,footprint.anoth,1
environment,impact.addit,1
friendli,practic,1
friendli,futur,1
practic,.,1
practic,fair,1
evolut,fuel,1
fuel,grow,1
grow,consum,1
grow,popular,1
consum,awar,1
consum,inform,1
consum,buy,1
consum,plethora,1
consum,attitud,1
awar,detriment,1
detriment,impact,1
impact,fast,1
fast,fashion,2
planet,peopl,1
planet,.,1
peopl,involv,1
involv,suppli,1
involv,use,1
suppli,chain.at,1
chain.at,core,1
core,",",1
seek,minim,1
minim,environment,1
harm,promot,1
promot,social,1
social,respons,1
respons,throughout,1
throughout,product,1
process,.,1
use,eco-friendli,1
eco-friendli,materi,1
materi,like,1
like,organ,1
organ,cotton,1
cotton,",",1
hemp,",",1
recycl,fabric,1
fabric,",",1
well,adopt,1
adopt,ethic,1
manufactur,practic,1
fair,wage,1
wage,safe,1
safe,work,1
work,condit,1
work,done,1
condit,garment,1
garment,worker,1
worker,.,1
furthermor,",",1
brand,priorit,2
priorit,transpar,1
priorit,sustain,1
transpar,",",1
provid,consum,1
inform,sourc,1
sourc,",",1
method,",",1
footprint.anoth,aspect,1
aspect,sustain,1
concept,slow,1
slow,fashion,1
encourag,consum,1
buy,fewer,1
fewer,",",1
higher-qu,item,1
item,design,1
design,last,1
last,.,1
contrast,sharpli,1
sharpli,fast,1
model,",",1
produc,quickli,1
quickli,cheapli,1
cheapli,",",1
lead,dispos,1
dispos,consumer,1
consumer,excess,1
excess,wast,1
wast,.,1
invest,timeless,1
timeless,piec,1
piec,withstand,1
withstand,trend,1
season,",",1
individu,build,1
build,sustain,1
wardrob,reduc,1
reduc,environment,1
impact.addit,",",1
extend,beyond,1
beyond,cloth,1
encompass,accessori,1
accessori,",",1
footwear,",",1
even,beauti,1
beauti,product,1
vegan,leather,1
leather,handbag,1
handbag,cruelty-fre,1
cruelty-fre,cosmet,1
cosmet,",",1
plethora,eco-consci,1
eco-consci,option,1
eco-consci,choic,1
option,choos,1
choos,.,1
reflect,broader,1
broader,cultur,1
cultur,shift,1
mind,consumpt,1
consumpt,desir,1
desir,product,1
align,person,1
person,valu,1
valu,beliefs.ultim,1
beliefs.ultim,",",1
repres,paradigm,1
paradigm,shift,1
challeng,statu,1
quo,pave,1
pave,way,1
futur,.,1
still,much,1
much,work,1
done,",",1
popular,sustain,1
indic,posit,1
posit,chang,1
chang,consum,1
attitud,behavior,1
behavior,.,1
support,brand,1
make,eco-consci,1
choic,live,1
live,",",1
contribut,sustain,1
healthier,planet,1
