Source,Target,Weight
grow,number,1
grow,.,1
number,investor,1
number,economist,1
investor,believ,1
believ,us,1
believ,like,1
believ,soft,1
believ,hard,1
believ,quarter-over-quart,1
us,economi,4
us,economist,1
economi,head,1
economi,keep,1
economi,``,1
economi,recess,1
economi,.,1
economi,without,1
economi,hit,1
head,``,1
``,land,4
``,recess,1
``,demand,1
``,lack,1
``,[,1
``,market,1
``,rate,1
land,'',3
land,.,1
land,—,1
land,",",1
land,card,1
'',scenario,2
'',note,1
'',jefferi,1
'',monday,1
'',2024,1
'',nationwid,1
'',wilson,1
scenario,",",1
scenario,recent,1
scenario,n't,1
",",inflat,2
",",us,1
",",releas,1
",",said,1
",",earliest,1
",",54,1
",",7,1
",",restrict,1
",",base,1
",",much,1
",",debat,1
",",n't,1
",",'',3
",",hard,1
",",thu,1
",",retail,1
",",strip,1
",",build,1
",",ga,1
",",increas,1
",",combin,1
",",prompt,1
",",prior,2
",",atlanta,1
",",result,1
",",accord,1
",",wilson,1
",",could,1
",",prefer,1
",",larg,1
inflat,n't,1
inflat,return,1
inflat,.,1
inflat,continu,1
inflat,also,1
inflat,undermin,1
inflat,sustain,1
n't,reach,1
n't,hit,1
n't,see,1
n't,bad,1
reach,fed,1
fed,'s,2
fed,cut,1
fed,may,1
fed,offici,1
's,2,1
's,global,1
's,graph,1
's,releas,1
's,gdp,1
2,%,2
%,target,1
%,saw,1
%,respond,2
%,month,1
%,",",2
%,.,2
%,first,1
target,",",1
keep,grow,1
.,thirty-six,1
.,'',2
.,meanwhil,2
.,last,1
.,",",1
.,``,6
.,retail,1
.,measur,1
.,goldman,1
.,revis,1
.,push,1
.,wilson,1
.,scenario,1
thirty-six,percent,1
percent,respond,1
respond,bank,1
respond,believ,2
bank,america,1
america,'s,1
global,fund,1
global,economi,1
fund,manag,1
manag,survey,1
survey,",",1
releas,tuesday,1
releas,",",1
tuesday,",",1
said,believ,1
like,outcom,1
like,outcome.thi,1
like,delay,1
like,small-cap,1
outcom,global,1
outcom,month,1
note,move,1
note,april,1
note,monday,1
note,",",1
move,higher,1
higher,23,1
higher,februari,1
higher,come,1
23,%,1
saw,outcom,1
month,ago,1
month,.,1
month,year,1
ago,highest,1
highest,level,1
level,seen,1
seen,sinc,1
sinc,june,1
june,2023,1
2023,",",1
earliest,date,1
earliest,could,1
date,bofa,1
bofa,'s,1
graph,.,1
meanwhil,",",2
54,%,1
soft,land,2
—,econom,1
—,like,1
econom,growth,2
econom,data,1
growth,slow,1
growth,first,1
growth,us,1
growth,2.8,1
growth,.,1
growth,regim,1
slow,point,1
slow,",",1
point,recess,1
point,.,1
recess,",",2
recess,n't,1
return,histor,1
histor,averag,1
averag,—,1
outcome.thi,show,1
show,shift,1
shift,discuss,1
shift,whether,1
discuss,wall,1
wall,street,2
street,",",1
street,whether,1
7,%,1
hard,land,1
hard,soft,1
hard,see,2
restrict,polici,1
polici,forc,1
forc,economi,1
base,case,1
case,.,1
last,year,1
year,",",2
year,.,2
much,debat,1
debat,wall,1
debat,shift,1
whether,hard,1
whether,recent,1
card,economi,1
recent,better-than-expect,1
recent,data,1
recent,week,1
recent,surg,1
better-than-expect,econom,1
data,could,1
data,march,1
data,],1
could,prohibit,1
could,push,1
could,lead,1
prohibit,progress,1
progress,inflat,1
hit,us,1
hit,3.1,1
without,catalyst,1
catalyst,sort,1
sort,",",1
see,go,1
see,inflat,1
see,fed,1
see,growth,1
go,stop,1
stop,consum,1
consum,spend,2
consum,price,1
spend,",",1
spend,inflat,1
jefferi,us,1
economist,tom,1
economist,boost,1
economist,suggest,1
economist,kathi,1
tom,simon,1
simon,wrote,1
wrote,note,2
wrote,.,1
april,12,1
12,.,1
demand,still,1
still,solid,1
solid,",",1
continu,slow,1
thu,hard,1
cut,rate,2
cut,septemb,1
rate,.,1
rate,year,1
rate,cut,1
rate,reduct,1
rate,pose,1
monday,",",1
monday,.,1
retail,sale,2
sale,data,1
sale,control,1
march,support,1
support,point,1
control,group,1
group,",",1
strip,volatil,1
volatil,categori,1
categori,auto,1
auto,",",1
build,materi,1
materi,",",1
ga,station,1
station,",",1
increas,1.1,1
increas,number,1
1.1,%,1
measur,feed,1
feed,directli,1
directli,gdp,1
gdp,",",1
gdp,tool,1
combin,revis,1
revis,higher,2
februari,'s,1
prompt,economist,1
boost,project,1
project,econom,1
project,2.5,1
first,quarter,2
first,three,1
quarter,.,1
quarter,",",1
goldman,sach,1
sach,believ,1
quarter-over-quart,growth,1
3.1,%,1
prior,project,1
prior,forecast,1
2.5,%,1
atlanta,fed,1
tool,see,1
2.8,%,1
forecast,2.4,1
2.4,%,1
come,expect,1
expect,inflat,1
expect,growth,1
also,rise,1
rise,sever,1
sever,hotter-than-expect,1
hotter-than-expect,consum,1
price,read,1
price,sign,1
read,first,1
three,month,1
push,increas,1
push,rate,1
suggest,fed,1
may,cut,1
result,``,1
2024,.,1
lack,moder,1
moder,consum,1
undermin,fed,1
offici,’,1
’,confid,1
confid,inflat,1
sustain,cours,1
cours,back,1
back,2,1
nationwid,chief,1
chief,economist,1
chief,invest,1
kathi,bostjanc,1
bostjanc,wrote,1
[,recent,1
],like,1
delay,rate,1
septemb,earliest,1
reduct,next,1
next,year,1
market,price,1
market,",",1
market,underpr,1
sign,``,1
week,",",1
accord,morgan,1
morgan,stanley,1
stanley,chief,1
invest,offic,1
offic,mike,1
mike,wilson,1
wilson,.,1
wilson,cite,1
wilson,note,1
wilson,wrote,1
cite,recent,1
surg,10-year,1
10-year,treasuri,1
treasuri,yield,1
yield,(,1
(,^tnx,1
(,^rut,1
^tnx,),1
),fall,1
),exampl,1
