Source,Target,Weight
lead,gener,7
lead,drive,3
lead,interest,2
lead,build,1
lead,search,1
lead,captur,1
lead,ad,1
lead,expand,1
gener,essenti,2
gener,strategi,4
gener,qualiti,2
gener,",",1
essenti,busi,2
busi,look,2
busi,identifi,1
busi,use,1
busi,posit,1
busi,increas,1
busi,reach,1
busi,attract,2
busi,.,1
look,attract,2
attract,new,2
attract,engag,1
attract,qualifi,4
attract,organ,1
new,custom,2
custom,drive,2
custom,interest,1
custom,.,2
custom,popular,1
custom,base,1
drive,sale,3
drive,toward,1
drive,meaning,1
sale,.,3
sale,funnel,2
.,implement,2
.,whether,1
.,one,1
.,offer,1
.,gate,1
.,anoth,1
.,creat,1
.,addit,1
.,social,2
.,share,1
.,conclus,1
.,focus,1
implement,effect,2
implement,lead,1
effect,lead,4
effect,captur,2
strategi,",",1
strategi,busi,1
strategi,content,2
strategi,search,1
",",busi,5
",",offer,1
",",run,2
",",sever,1
",",involv,2
",",relev,2
",",inform,1
",",ebook,1
",",whitepap,1
",",webinar,1
",",requir,1
",",particularli,1
",",optim,1
",",implement,1
",",pop-up,1
",",call-to-act,1
",",allow,1
",",instagram,1
",",linkedin,1
",",twitter,1
",",engag,1
",",giveaway,1
",",lead,2
",",seo,1
",",social,1
",",gener,1
identifi,nurtur,1
nurtur,potenti,1
potenti,custom,4
interest,product,2
interest,offer,1
interest,target,1
product,servic,2
servic,move,2
move,sale,2
funnel,toward,2
toward,convers,3
convers,.,3
whether,'s,1
's,creat,1
creat,compel,1
creat,distribut,1
creat,high-qual,1
compel,content,1
content,",",3
content,market,2
content,attract,1
content,address,1
offer,gate,1
offer,help,1
offer,.,1
gate,resourc,1
gate,content,1
resourc,",",1
resourc,blog,1
run,target,2
target,advertis,2
target,audienc,1
advertis,campaign,2
campaign,",",2
sever,key,1
key,strategi,1
use,gener,1
qualiti,lead,2
one,effect,1
market,",",3
market,anoth,1
involv,creat,1
involv,optim,1
distribut,valuabl,1
valuabl,",",1
valuabl,content,1
relev,",",2
inform,content,1
inform,exchang,1
inform,.,1
engag,potenti,2
engag,audienc,1
engag,authent,1
help,resourc,1
blog,post,1
post,",",1
ebook,",",1
whitepap,",",1
webinar,",",1
posit,industri,1
industri,expert,1
expert,attract,1
qualifi,lead,4
requir,user,1
user,provid,1
provid,contact,2
provid,valu,1
contact,inform,2
exchang,access,1
access,",",1
particularli,effect,2
captur,lead,2
captur,form,1
build,databas,1
databas,potenti,1
anoth,effect,1
anoth,power,1
search,engin,3
engin,optim,1
engin,result,1
engin,like,1
optim,(,1
optim,websit,1
optim,content,1
(,seo,1
(,serp,1
seo,),1
seo,",",1
),",",1
),attract,1
websit,rank,1
websit,encourag,1
rank,higher,1
higher,search,1
result,page,1
result,busi,1
page,(,1
serp,),1
organ,traffic,1
traffic,.,1
high-qual,",",1
address,need,1
need,interest,1
audienc,",",1
audienc,social,1
audienc,engag,1
increas,visibl,1
visibl,attract,1
like,googl,1
like,facebook,1
googl,.,1
addit,",",1
form,",",1
pop-up,",",1
call-to-act,button,1
button,websit,1
encourag,visitor,1
visitor,take,1
take,next,1
next,step,1
step,provid,1
social,media,5
media,market,2
media,platform,1
media,",",1
media,contest,1
power,tool,1
tool,lead,1
allow,busi,1
reach,engag,1
popular,social,1
platform,like,1
facebook,",",1
instagram,",",1
linkedin,",",1
twitter,.,1
share,valuabl,1
contest,",",1
giveaway,",",1
ad,particularli,1
expand,custom,1
base,.,1
conclus,",",1
focus,provid,1
valu,audienc,1
authent,",",1
meaning,result,1
